Name,Rolle,Original_Rolle,ID,Titel,Art,Zielgruppe,Chronologische_Sortierung,Herkunftsland
10 trees graciously loaned for the production will be rooted in the heart of the community at the end of the performances. They will provide shade,Förderung & Partner,Unterstützt durch,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
2024,Produktion & Management,Produktion,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
30 Tänzer:innen (Namen folgen) aus Chemnitz (intergenerationelle Company Dancing Neighbours),Darstellende,Darstellende,A_075,Tanzende Nachbarn,Performance,Familien,30,"Japan, Deutschland"
A Oficina,Produktion & Management,Koproduktion Residenz,A_055,Go Back to Where You Came From,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,14,Portugal
A Oficina e Cineteatro Louletano (as part of Projeto CASA),Produktion & Management,Koproduktion,A_055,Go Back to Where You Came From,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,14,Portugal
AWW Germany GmbH,Förderung & Partner,Unterstützt durch,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Abdulaziz Al-Aswad,Musik & Sound,"Musik, Sound",A_059,Speak So I May See You,Performance,Erwachsene,33,Saudi-Arabien
Abou Bassa,Musik & Sound,Musik,A_012,LA BOULE BLEUE,Figurentheater,Familien,31,Elfenbeinküste
Adriana Urrea,Text & Dramaturgie,Transkription,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Adrien Michaux,Performance,Darsteller:innen,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Afsaneh Mahian,"Regie, Text & Dramaturgie","Text, Regie",A_064,The Shadows,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,24,Iran
Agency for Cultural Affairs,Technik,Supported by,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Agus Margiyanti,Performance,"Darsteller:innen / Puppenspieler:innen, Tänzer:innen",A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Agustina Reinaudo,Darstellende,Darstellende,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Ahmed Al-Bannai,Bühne & Ausstattung,Stage Management,A_059,Speak So I May See You,Performance,Erwachsene,33,Saudi-Arabien
Ahmed Al-Harbi,Performance,Hauptdarsteller,A_059,Speak So I May See You,Performance,Erwachsene,33,Saudi-Arabien
Ahmed Ashmawy (Assistenz),"Bühne & Ausstattung, Kostüm & Maske","Szenografie, Kostümbild",A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Ahmed El Attar,"Regie, Text & Dramaturgie","Regie, Text",A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Ahmed Nagy,Buchhaltung,Buchhaltung,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Aho Ssan,Musik & Sound,Musik,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Aho Ssan.,Performance,Darsteller:innen,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Ai Weiwei,Text & Dramaturgie,Visuelles Konzept,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Aichi Triennale 2025,Produktion & Management,Premiere,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Ajitesh Gupta,"Darstellende, Regie, Text & Dramaturgie","Darstellende, Regie, Text",A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Akalanka Prabashwara,Darstellende,Darstellende,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Alanis O’Bomsawin-Galand,Performance,Mit den Stimmen von,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Alessandro Fanni,Character of earth and water,Character of earth and water,A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
Alexandra Takats,Produktion & Management,Produktionsleitung,A_075,Tanzende Nachbarn,Performance,Familien,30,"Japan, Deutschland"
Alfonso Lee,Darstellende,Darstellende,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Amanda Roy,Performance,Mit den Stimmen von,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Amazonía Mía,Danksagungen,Danksagungen,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Amita Ghugari,Darstellende,Darstellende,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Ana Gigi,Performance,Darstellerinnen,A_055,Go Back to Where You Came From,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,14,Portugal
Anabella Bacigalupo,Darstellende,Darstellende,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Andreas Praditya,"Produktion & Management, Technik",Technische Direktion & Produktionsmanagement,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Andrée Levesque Sioui,Musik & Sound,"„Nibi Song“, Gesang",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Andrés Granier,Darstellende,Darstellende,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Andrés Molina,"Choreografie, Künstlerische Beratung","Choreographie, Künstlerische Beratung",A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Anik Sioui,Performance,Mit den Stimmen von,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Anjana Premawardena,Darstellende,Darstellende,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Annie O’Bomsawin,Musik & Sound,"„Nibi Song“, Gesang",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Anthony Thibault,Regie,Regie,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Anton Fajri,"Performance, Puppenherstellung, Puppenkonstruktion","Darsteller:innen / Puppenspieler:innen, Puppenherstellung, Puppenkonstruktion",A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Apetunpe (Rekpo,Created and Performed by,Created and Performed by,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Ariene Godoy,Licht,Lichtdesign,A_055,Go Back to Where You Came From,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,14,Portugal
Armelle Abibou,Performance,Darsteller:innen,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Artiom Zavadovsky,"Darstellende, Text & Dramaturgie","Darstellende, Übersetzung",A_076,MEMORY DISTORTION. M I X T A P E,Musiktheater,Erwachsene & Junge Erwachsene,16,Moldau
Ashish Mishra,Darstellende,Darstellende,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Atena Barbosa,Produktion & Management,"Executive Production, Produktionsunterstützung",A_055,Go Back to Where You Came From,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,14,Portugal
Aurele Chanal,Produktion & Management,Programming and integration,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Avery Lin,Darstellende,Darstellende,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
